timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672248209425,1705,Requisição HTTP,200,OK,Grupo de Usuários 1-80,text,true,,657,255,74,74,https://api.instantwebtools.net/v1/passenger,1705,0,1462
1672248209432,1739,Requisição HTTP,200,OK,Grupo de Usuários 1-81,text,true,,691,257,73,73,https://api.instantwebtools.net/v1/passenger,1739,0,1480
1672248209439,1757,Requisição HTTP,200,OK,Grupo de Usuários 1-82,text,true,,687,253,72,72,https://api.instantwebtools.net/v1/passenger,1757,0,1492
1672248209446,1751,Requisição HTTP,200,OK,Grupo de Usuários 1-83,text,true,,657,255,71,71,https://api.instantwebtools.net/v1/passenger,1751,0,1523
1672248209453,1787,Requisição HTTP,200,OK,Grupo de Usuários 1-84,text,true,,669,256,70,70,https://api.instantwebtools.net/v1/passenger,1786,0,1537
1672248209406,1853,Requisição HTTP,200,OK,Grupo de Usuários 1-77,text,true,,688,254,69,69,https://api.instantwebtools.net/v1/passenger,1853,0,1583
1672248209461,1802,Requisição HTTP,200,OK,Grupo de Usuários 1-85,text,true,,703,256,68,68,https://api.instantwebtools.net/v1/passenger,1802,0,1551
1672248209468,1797,Requisição HTTP,200,OK,Grupo de Usuários 1-86,text,true,,671,256,67,67,https://api.instantwebtools.net/v1/passenger,1797,0,1567
1672248209418,1849,Requisição HTTP,200,OK,Grupo de Usuários 1-79,text,true,,659,257,66,66,https://api.instantwebtools.net/v1/passenger,1849,0,1606
1672248209481,1850,Requisição HTTP,200,OK,Grupo de Usuários 1-88,text,true,,649,256,65,65,https://api.instantwebtools.net/v1/passenger,1850,0,1599
1672248209495,1880,Requisição HTTP,200,OK,Grupo de Usuários 1-90,text,true,,691,257,64,64,https://api.instantwebtools.net/v1/passenger,1880,0,1630
1672248209503,1899,Requisição HTTP,200,OK,Grupo de Usuários 1-91,text,true,,660,258,63,63,https://api.instantwebtools.net/v1/passenger,1899,0,1648
1672248209509,1898,Requisição HTTP,200,OK,Grupo de Usuários 1-92,text,true,,696,261,62,62,https://api.instantwebtools.net/v1/passenger,1898,0,1662
1672248209516,1933,Requisição HTTP,200,OK,Grupo de Usuários 1-93,text,true,,661,259,61,61,https://api.instantwebtools.net/v1/passenger,1933,0,1681
1672248209524,1929,Requisição HTTP,200,OK,Grupo de Usuários 1-94,text,true,,690,256,60,60,https://api.instantwebtools.net/v1/passenger,1929,0,1694
1672248209475,1997,Requisição HTTP,200,OK,Grupo de Usuários 1-87,text,true,,660,258,59,59,https://api.instantwebtools.net/v1/passenger,1997,0,1729
1672248209538,1981,Requisição HTTP,200,OK,Grupo de Usuários 1-96,text,true,,688,254,58,58,https://api.instantwebtools.net/v1/passenger,1981,0,1720
1672248209544,1977,Requisição HTTP,200,OK,Grupo de Usuários 1-97,text,true,,657,255,57,57,https://api.instantwebtools.net/v1/passenger,1977,0,1742
1672248209551,1987,Requisição HTTP,200,OK,Grupo de Usuários 1-98,text,true,,659,257,56,56,https://api.instantwebtools.net/v1/passenger,1987,0,1758
1672248209531,2013,Requisição HTTP,200,OK,Grupo de Usuários 1-95,text,true,,691,256,55,55,https://api.instantwebtools.net/v1/passenger,2013,0,1709
1672248209566,2035,Requisição HTTP,200,OK,Grupo de Usuários 1-100,text,true,,691,257,54,54,https://api.instantwebtools.net/v1/passenger,2035,0,1786
1672248209572,2056,Requisição HTTP,200,OK,Grupo de Usuários 1-101,text,true,,687,253,53,53,https://api.instantwebtools.net/v1/passenger,2056,0,1803
1672248209586,2147,Requisição HTTP,200,OK,Grupo de Usuários 1-103,text,true,,669,256,52,52,https://api.instantwebtools.net/v1/passenger,2147,0,1845
1672248209594,2165,Requisição HTTP,200,OK,Grupo de Usuários 1-104,text,true,,703,256,51,51,https://api.instantwebtools.net/v1/passenger,2164,0,1855
1672248209488,2275,Requisição HTTP,200,OK,Grupo de Usuários 1-89,text,true,,659,257,50,50,https://api.instantwebtools.net/v1/passenger,2275,0,1611
1672248209602,2161,Requisição HTTP,200,OK,Grupo de Usuários 1-105,text,true,,671,256,50,50,https://api.instantwebtools.net/v1/passenger,2161,0,1866
1672248209558,2207,Requisição HTTP,200,OK,Grupo de Usuários 1-99,text,true,,657,255,48,48,https://api.instantwebtools.net/v1/passenger,2207,0,1923
1672248209615,2214,Requisição HTTP,200,OK,Grupo de Usuários 1-107,text,true,,649,256,47,47,https://api.instantwebtools.net/v1/passenger,2214,0,1903
1672248209621,2208,Requisição HTTP,200,OK,Grupo de Usuários 1-108,text,true,,659,257,47,47,https://api.instantwebtools.net/v1/passenger,2208,0,1916
1672248209635,2197,Requisição HTTP,200,OK,Grupo de Usuários 1-110,text,true,,660,258,47,47,https://api.instantwebtools.net/v1/passenger,2197,0,1950
1672248209628,2204,Requisição HTTP,200,OK,Grupo de Usuários 1-109,text,true,,691,257,47,47,https://api.instantwebtools.net/v1/passenger,2204,0,1930
1672248209642,2211,Requisição HTTP,200,OK,Grupo de Usuários 1-111,text,true,,696,261,43,43,https://api.instantwebtools.net/v1/passenger,2211,0,1955
1672248209649,2229,Requisição HTTP,200,OK,Grupo de Usuários 1-112,text,true,,661,259,42,42,https://api.instantwebtools.net/v1/passenger,2229,0,1978
1672248209656,2251,Requisição HTTP,200,OK,Grupo de Usuários 1-113,text,true,,690,256,41,41,https://api.instantwebtools.net/v1/passenger,2251,0,1996
1672248209608,2350,Requisição HTTP,200,OK,Grupo de Usuários 1-106,text,true,,660,258,40,40,https://api.instantwebtools.net/v1/passenger,2350,0,2035
1672248209663,2323,Requisição HTTP,200,OK,Grupo de Usuários 1-114,text,true,,691,256,39,39,https://api.instantwebtools.net/v1/passenger,2323,0,2027
1672248209672,2337,Requisição HTTP,200,OK,Grupo de Usuários 1-115,text,true,,688,254,38,38,https://api.instantwebtools.net/v1/passenger,2337,0,2041
1672248209678,2357,Requisição HTTP,200,OK,Grupo de Usuários 1-116,text,true,,657,255,37,37,https://api.instantwebtools.net/v1/passenger,2357,0,2053
1672248209691,2365,Requisição HTTP,200,OK,Grupo de Usuários 1-118,text,true,,657,255,36,36,https://api.instantwebtools.net/v1/passenger,2365,0,2103
1672248209684,2373,Requisição HTTP,200,OK,Grupo de Usuários 1-117,text,true,,659,257,35,35,https://api.instantwebtools.net/v1/passenger,2373,0,2075
1672248209698,2378,Requisição HTTP,200,OK,Grupo de Usuários 1-119,text,true,,691,257,34,34,https://api.instantwebtools.net/v1/passenger,2378,0,2131
1672248209704,2375,Requisição HTTP,200,OK,Grupo de Usuários 1-120,text,true,,687,253,33,33,https://api.instantwebtools.net/v1/passenger,2375,0,2148
1672248209719,2446,Requisição HTTP,200,OK,Grupo de Usuários 1-122,text,true,,669,256,32,32,https://api.instantwebtools.net/v1/passenger,2446,0,2186
1672248209579,2589,Requisição HTTP,200,OK,Grupo de Usuários 1-102,text,true,,657,255,31,31,https://api.instantwebtools.net/v1/passenger,2589,0,2312
1672248209726,2443,Requisição HTTP,200,OK,Grupo de Usuários 1-123,text,true,,703,256,30,30,https://api.instantwebtools.net/v1/passenger,2443,0,2209
1672248209733,2476,Requisição HTTP,200,OK,Grupo de Usuários 1-124,text,true,,671,256,29,29,https://api.instantwebtools.net/v1/passenger,2476,0,2225
1672248209741,2474,Requisição HTTP,200,OK,Grupo de Usuários 1-125,text,true,,660,258,28,28,https://api.instantwebtools.net/v1/passenger,2474,0,2246
1672248209749,2486,Requisição HTTP,200,OK,Grupo de Usuários 1-126,text,true,,649,256,27,27,https://api.instantwebtools.net/v1/passenger,2486,0,2261
1672248209756,2508,Requisição HTTP,200,OK,Grupo de Usuários 1-127,text,true,,659,257,26,26,https://api.instantwebtools.net/v1/passenger,2508,0,2282
